gameid,date,type,playerid,player,team,home,away,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,win,season
22200437,2022-12-16,regular,201566,Russell Westbrook,LAL,LAL,DEN,30,15,5,13,38.5,0,3,0.0,5,8,62.5,2,9,11,12,2,0,4,2,25,1,2023
22200465,2022-12-20,regular,203999,Nikola Jokic,DEN,DEN,MEM,37,13,6,12,50.0,1,1,100.0,0,1,0.0,4,9,13,13,2,0,4,1,13,1,2023
22200476,2022-12-21,regular,1630163,LaMelo Ball,CHA,LAC,CHA,37,25,10,26,38.5,4,13,30.8,1,2,50.0,2,9,11,12,2,0,7,2,-25,0,2023
22200475,2022-12-21,regular,1627734,Domantas Sabonis,SAC,SAC,LAL,37,13,4,8,50.0,1,2,50.0,4,4,100.0,7,14,21,12,1,0,4,4,20,1,2023
22200480,2022-12-23,regular,201935,James Harden,PHI,PHI,LAC,41,20,6,17,35.3,3,6,50.0,5,6,83.3,0,11,11,21,1,0,3,2,11,1,2023
22200497,2022-12-25,regular,203999,Nikola Jokic,DEN,DEN,PHX,44,41,16,25,64.0,2,4,50.0,7,9,77.8,4,11,15,15,0,1,3,4,12,1,2023
22200505,2022-12-27,regular,201566,Russell Westbrook,LAL,ORL,LAL,29,15,6,11,54.5,1,3,33.3,2,2,100.0,0,13,13,13,0,0,4,3,18,1,2023
22200528,2022-12-29,regular,1629029,Luka Doncic,DAL,DAL,HOU,34,35,11,21,52.4,4,9,44.4,9,12,75.0,1,11,12,13,1,2,2,1,19,1,2023
22200535,2022-12-30,regular,203999,Nikola Jokic,DEN,DEN,MIA,36,19,8,15,53.3,2,3,66.7,1,1,100.0,1,11,12,12,1,1,3,3,14,1,2023
22200549,2023-01-01,regular,203999,Nikola Jokic,DEN,DEN,BOS,32,30,10,13,76.9,2,2,100.0,8,8,100.0,0,12,12,12,1,0,0,1,14,1,2023
22200596,2023-01-08,regular,201935,James Harden,PHI,DET,PHI,28,20,7,14,50.0,3,5,60.0,3,4,75.0,1,10,11,11,0,1,1,2,7,1,2023
22200609,2023-01-09,regular,203999,Nikola Jokic,DEN,DEN,LAL,35,14,5,5,100.0,1,1,100.0,3,3,100.0,2,9,11,16,1,1,4,2,10,1,2023
22200612,2023-01-10,regular,201935,James Harden,PHI,PHI,DET,26,16,6,7,85.7,2,3,66.7,2,3,66.7,1,11,12,15,2,0,3,1,35,1,2023
22200630,2023-01-12,regular,1629029,Luka Doncic,DAL,LAL,DAL,53,35,14,28,50.0,4,9,44.4,3,7,42.9,2,12,14,13,1,1,5,5,10,1,2023
22200640,2023-01-13,regular,1627734,Domantas Sabonis,SAC,SAC,HOU,37,19,6,14,42.9,0,3,0.0,7,10,70.0,5,10,15,16,2,2,2,3,26,1,2023
22200655,2023-01-15,regular,201566,Russell Westbrook,LAL,LAL,PHI,34,20,7,14,50.0,2,5,40.0,4,5,80.0,0,14,14,11,1,1,4,2,3,0,2023
22200676,2023-01-18,regular,203999,Nikola Jokic,DEN,DEN,MIN,31,31,12,20,60.0,0,0,0.0,7,7,100.0,4,7,11,13,1,0,3,5,21,1,2023
